obligation_id,target_module_path,target_symbol,target_source_path,is_constant_literal_result,is_executed,is_broad_appendix_grammar_row,uses_appendix_b_composite_target,passes_quality_gate
PatNames-RangePattern,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.AllModuleNames,HelloUltraviolet::Reference::Names,runNamesImportsReference,Source/Reference/Names/Imports.uv,false,true,false,false,true
def.VisibleModuleNames,HelloUltraviolet::Reference::Names,runNamesImportsReference,Source/Reference/Names/Imports.uv,false,true,false,false,true
def.LastPathComponent,HelloUltraviolet::Reference::Names,runNamesImportsReference,Source/Reference/Names/Imports.uv,false,true,false,false,true
def.IsModulePath,HelloUltraviolet::Reference::Names,runNamesImportsReference,Source/Reference/Names/Imports.uv,false,true,false,false,true
def.SplitLastPathComponent,HelloUltraviolet::Reference::Names,runNamesImportsReference,Source/Reference/Names/Imports.uv,false,true,false,false,true
def.ModuleByPath,HelloUltraviolet::Reference::Names,runNamesImportsReference,Source/Reference/Names/Imports.uv,false,true,false,false,true
def.ItemNames,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.UsingSpecName,HelloUltraviolet::Reference::Names,runNamesUsingDeclarationsReference,Source/Reference/Names/UsingDeclarations.uv,false,true,false,false,true
def.UsingSpecNames,HelloUltraviolet::Reference::Names,runNamesUsingDeclarationsReference,Source/Reference/Names/UsingDeclarations.uv,false,true,false,false,true
DeclNames-Empty,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
DeclNames-Using,HelloUltraviolet::Reference::Names,runNamesUsingDeclarationsReference,Source/Reference/Names/UsingDeclarations.uv,false,true,false,false,true
DeclNames-Item,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.ModuleDeclNames,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
req.ImportUsingJudgementCanonicalOwner,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-Procedure,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-ExternBlock,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-Record,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-Enum,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-Class,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-TypeAlias,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-Static,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-Import,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Bind-Using,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Collect-Ok,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Collect-Scan,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.BindingNameSet,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.NoDuplicateBindingNames,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.DisjointBindingNames,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.NameMapUnion,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.NameInfoOfBinding,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.BindingNameSource,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.NameMapSource,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.NameCollectionStateDomain,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Names-Start,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Names-Step,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
Names-Done,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.ResolveQualifiedFormSignature,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
def.ResolveArgsSignature,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
def.ResolveFieldInitsSignature,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
def.ResolveRecordPathSignature,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
def.ResolveEnumUnitSignature,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
def.ResolveEnumTupleSignature,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
def.ResolveEnumRecordSignature,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
def.ResolvePathJudgementSet,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
ResolveArgs-Empty,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
ResolveArgs-Cons,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
ResolveFieldInits-Empty,HelloUltraviolet::Reference::Names,runNamesDisambiguationReference,Source/Reference/Names/Disambiguation.uv,false,true,false,false,true
